Title	Category	Theme	MD_TopicCategoryCode	Summary	File identifier	catalogue_page	thumbnail	geoserver_layer	geoserver_style	default_basemap	file_name	Spatial_representation_type	File type	start_time	end_time	Time period	Temporal resolution	Frequency	Spatial resolution	Spatial resolution as integer	Spatial resolution unit	Extent	Owner	cbs	lifelines	Unit	CRS	No-data value	show_on_map	available_years	Comments	Metadata last updated	Dataset last revised	Lineage_statement	Local path to XML file	Hosted XML file
Annual average (A-weighted) road traffic noise estimates	Physico-Chemical	Noise RTN	environment	No summary	expanse_project_exposome_maps_RTN_AVG_v3	Road_traffic_noise_estimates	traffic_noise	RTN_AVG	RTN		RTN_AVG_XX_XX_19_v3.shp	vector	ESRI Shapefile	01_01_2019	01_12_2019	2019	Annual		point			Full EU	Kees de Hoogh	1		db(A)	ETRS89-extended / LAEA Europe (EPSG: 3035)		FALSE	2019		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Annual_average_A_weighted_road_traffic_noise_estimates.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Annual_average_A_weighted_road_traffic_noise_estimates.xml
Downward UV radiation at the surface, monthy mean of daily average	Physico-Chemical	UV radiation	environment	No summary	expanse_project_exposome_maps_UV_AVG_v3	Downward_UV_radiation_at_the_surface_monthy_mean_of_daily_average	mean_uv	UV_AVG	UV		UV_AVG_%day%_%month%_%year%_v3	grid	TIF	01_01_2000	01_12_2022	2000 - 2022	Monthly		27x27 km	27	km	Full EU	Kees de Hoogh			J/m2	ETRS89-extended / LAEA Europe (EPSG: 3035)	NaN	FALSE			8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Downward_UV_radiation_at_the_surface,_monthy_mean_of_daily_average.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Downward_UV_radiation_at_the_surface,_monthy_mean_of_daily_average.xml
Downward UV radiation at the surface, monthly max of daily average	Physico-Chemical	UV radiation	environment	No summary	expanse_project_exposome_maps_UV_MAX_v3	Downward_UV_radiation_at_the_surface_monthly_max_of_daily_average	max_uv	UV_MAX	UV		UV_MAX_%day%_%month%_%year%_v3	grid	TIF	01_01_2000	01_12_2022	2000 - 2022	Monthly		27x27 km	27	km	Full EU	Kees de Hoogh			J/m2	ETRS89-extended / LAEA Europe (EPSG: 3035)	NaN	FALSE			8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Downward_UV_radiation_at_the_surface,_monthly_max_of_daily_average.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Downward_UV_radiation_at_the_surface,_monthly_max_of_daily_average.xml
Median NDVI within 300m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_MD3_v2	Median_NDVI	median_ndvi	NDV_MD3	NDVI		NDV_MD3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_NDVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_NDVI_within_300m.xml
Median NDVI within 500m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_MD5_v2	Median_NDVI	median_ndvi	NDV_MD5	NDVI		NDV_MD5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_NDVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_NDVI_within_500m.xml
Median NDVI within 1km	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_MD1_v2	Median_NDVI	median_ndvi	NDV_MD1	NDVI		NDV_MD1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_NDVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_NDVI_within_1km.xml
Standard deviation NDVI within 300m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ST3_v2	Standard_deviation_NDVI	sd_ndvi	NDV_ST3	NDVI		NDV_ST3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_NDVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_NDVI_within_300m.xml
Standard deviation NDVI within 500m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ST5_v2	Standard_deviation_NDVI	sd_ndvi	NDV_ST5	NDVI		NDV_ST5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_NDVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_NDVI_within_500m.xml
Standard deviation NDVI within 1km	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ST1_v2	Standard_deviation_NDVI	sd_ndvi	NDV_ST1	NDVI		NDV_ST1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_NDVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_NDVI_within_1km.xml
Mean NDVI within 300m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ME3_v2	Mean_NDVI	mean_ndvi	NDV_ME3	NDVI		NDV_ME3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_NDVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_NDVI_within_300m.xml
Mean NDVI within 500m	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ME5_v2	Mean_NDVI	mean_ndvi	NDV_ME5	NDVI		NDV_ME5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_NDVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_NDVI_within_500m.xml
Mean NDVI within 1km	Built	NDVI	environment	No summary	expanse_project_exposome_maps_NDV_ME1_v2	Mean_NDVI	mean_ndvi	NDV_ME1	NDVI		NDV_ME1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_NDVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_NDVI_within_1km.xml
Median MSAVI within 300m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_MD3_v2	Median_MSAVI	median_msavi	MVI_MD3	NDVI		MVI_MD3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_MSAVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_MSAVI_within_300m.xml
Median MSAVI within 500m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_MD5_v2	Median_MSAVI	median_msavi	MVI_MD5	NDVI		MVI_MD5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_MSAVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_MSAVI_within_500m.xml
Median MSAVI within 1km	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_MD1_v2	Median_MSAVI	median_msavi	MVI_MD1	NDVI		MVI_MD1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Median_MSAVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Median_MSAVI_within_1km.xml
Standard deviation MSAVI within 300m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ST3_v2	Standard_deviation_MSAVI	sd_msavi	MVI_ST3	NDVI		MVI_ST3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_300m.xml
Standard deviation MSAVI within 500m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ST5_v2	Standard_deviation_MSAVI	sd_msavi	MVI_ST5	NDVI		MVI_ST5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_500m.xml
Standard deviation MSAVI within 1km	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ST1_v2	Standard_deviation_MSAVI	sd_msavi	MVI_ST1	NDVI		MVI_ST1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Standard_deviation_MSAVI_within_1km.xml
Mean MSAVI within 300m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ME3_v2	Mean_MSAVI	mean_msavi	MVI_ME3	NDVI		MVI_ME3_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_MSAVI_within_300m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_MSAVI_within_300m.xml
Mean MSAVI within 500m	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ME5_v2	Mean_MSAVI	mean_msavi	MVI_ME5	NDVI		MVI_ME5_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_MSAVI_within_500m.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_MSAVI_within_500m.xml
Mean MSAVI within 1km	Built	MSAVI	environment	No summary	expanse_project_exposome_maps_MVI_ME1_v2	Mean_MSAVI	mean_msavi	MVI_ME1	NDVI		MVI_ME1_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	250x250 m 	250	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	-3,40E+38	TRUE	2005, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Mean_MSAVI_within_1km.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Mean_MSAVI_within_1km.xml
Distance to nearest green space using CORINE	Built	Green Space	environment	No summary	expanse_project_exposome_maps_GSC_DIS_v2	Distance_to_nearest_green_space_using_CORINE	corine_greenspace	GSC_DIS	GSC		GSC_DIS_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2018	2000 - 2018	Annual	Every 6 years	100x100 m			Full EU	Kees de Hoogh	1	1	meters	ETRS89-extended / LAEA Europe (EPSG: 3035)	65535	TRUE	2006, 2018		8-1-2026	8-1-2026	Date  are availble in 6-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Distance_to_nearest_green_space_using_CORINE.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Distance_to_nearest_green_space_using_CORINE.xml
Distance to nearest green space using URBAN ATLAS	Built	Green Space	environment	No summary	expanse_project_exposome_maps_GSU_DIS_v2	Distance_to_nearest_green_space_using_URBAN_ATLAS	urban_greenspace	GSU_DIS	GSU		GSU_DIS_XX_XX_%yr%_v2	grid	TIF	01_01_2006	01_12_2018	2006 - 2018	Annual	Every 6 years	0.25 / 1 ha			EU Urban agglomerations	Kees de Hoogh	1	1	meters	ETRS89-extended / LAEA Europe (EPSG: 3035)	65535	TRUE	2006, 2018		8-1-2026	8-1-2026	Date  are availble in 6-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Distance_to_nearest_green_space_using_URBAN_ATLAS.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Distance_to_nearest_green_space_using_URBAN_ATLAS.xml
